,index,PER_percentile,TS%_percentile,ORB%_percentile,DRB%_percentile,AST%_percentile,STL%_percentile,BLK%_percentile,TOV%_percentile,WS_percentile,3P%_percentile,2P%_percentile,FT%_percentile,PTS_percentile,MP_percentile,Player Name,Main Percentile,Adjusted Percentile
101,6387,0.5334075723830735,0.42538975501113585,0.46325167037861914,0.17817371937639198,0.5534521158129176,0.17037861915367483,0.5868596881959911,0.16146993318485522,0.5812917594654788,0.14794520547945206,0.5770089285714286,0.26036866359447003,0.6648106904231625,0.5902004454342984,Orlando Woolridge,0.35358722140204335,-0.9585925899011581
102,6388,0.2505567928730512,0.4866369710467706,0.06792873051224944,0.03897550111358575,0.7884187082405345,0.6414253897550112,0.2650334075723831,0.5155902004454342,0.477728285077951,0.6835616438356165,0.48660714285714285,0.9377880184331797,0.34743875278396436,0.41759465478841873,Danny Young,0.39917930296979165,-0.49460130518693773
103,7208,0.6247216035634744,0.7115812917594655,0.6670378619153675,0.7572383073496659,0.3429844097995546,0.17037861915367483,0.7683741648106904,0.4888641425389755,0.6759465478841871,0.9575342465753425,0.8080357142857143,0.2880184331797235,0.7483296213808464,0.6971046770601337,Victor Alexander,0.5339363309464455,0.8768229506291983
104,7209,0.3530066815144766,0.3129175946547884,0.5423162583518931,0.3685968819599109,0.45657015590200445,0.5812917594654788,0.5211581291759465,0.23162583518930957,0.5356347438752784,0.7643835616438356,0.31361607142857145,0.5023041474654378,0.5256124721603563,0.5400890868596881,Jud Buechler,0.40060228618581917,-0.48011958406722377
105,7212,0.8240534521158129,0.9253897550111359,0.8730512249443207,0.6748329621380846,0.17928730512249444,0.534521158129176,0.8474387527839644,0.6481069042316259,0.6859688195991092,0.14794520547945206,0.9196428571428571,0.41013824884792627,0.6570155902004454,0.5233853006681515,Chris Gatling,0.5551594823830936,1.092811274964466
106,7213,0.40311804008908686,0.42538975501113585,0.6080178173719376,0.33407572383073497,0.4354120267260579,0.4576837416481069,0.3307349665924276,0.2750556792873051,0.4910913140311804,0.3547945205479452,0.5334821428571429,0.2557603686635945,0.5155902004454342,0.46547884187082406,Jeff Grayer,0.36134708647347263,-0.8796203289318658
107,7214,0.9398663697104677,0.6191536748329621,0.16926503340757237,0.26837416481069043,0.9977728285077951,0.7416481069042317,0.21158129175946547,0.5155902004454342,0.9153674832962138,0.6986301369863014,0.5881696428571429,0.4942396313364055,0.9309576837416481,0.8841870824053452,Tim Hardaway,0.5393744165730887,0.9321664280385961
108,7215,0.17371937639198218,0.3930957683741648,0.30846325167037864,0.2561247216035635,0.6993318485523385,0.24944320712694878,0.3307349665924276,0.9075723830734966,0.053452115812917596,0.7931506849315069,0.39955357142857145,0.4976958525345622,0.3897550111358575,0.35412026726057905,Sean Higgins,0.3634728506152477,-0.8579863959938407
109,7216,0.48106904231625836,0.6603563474387528,0.9420935412026726,0.965478841870824,0.16258351893095768,0.21380846325167038,0.6180400890868597,0.4465478841870824,0.8006681514476615,0.14794520547945206,0.7790178571428571,0.16013824884792627,0.6547884187082406,0.7594654788418709,Tyrone Hill,0.46883570732741436,0.21429294651420921
110,7217,0.2650334075723831,0.4354120267260579,0.8040089086859689,0.678173719376392,0.3028953229398664,0.534521158129176,0.7951002227171492,0.77728285077951,0.5356347438752784,0.5931506849315068,0.2857142857142857,0.23271889400921658,0.5100222717149221,0.534521158129176,Byron Houston,0.4499778998114475,0.022376762050796167
111,7218,0.8997772828507795,0.9977728285077951,0.06792873051224944,0.19821826280623608,0.8775055679287305,0.41648106904231624,0.05011135857461024,0.33296213808463254,0.3752783964365256,0.989041095890411,0.9776785714285714,0.6347926267281107,0.22160356347438753,0.16481069042316257,Keith Jennings,0.4692767661510236,0.21878160864947255
112,7220,0.9510022271714922,0.9710467706013363,0.3897550111358575,0.20824053452115812,0.7839643652561247,0.8897550111358574,0.11469933184855234,0.6191536748329621,0.6759465478841871,0.4123287671232877,0.9453125,0.5691244239631337,0.579064587973274,0.41759465478841873,Sarunas Marciulionis*,0.5406262502298149,0.9449063575759169
113,7221,0.9164810690423163,0.888641425389755,0.15701559020044542,0.44988864142538976,0.6347438752783965,0.534521158129176,0.6469933184855234,0.2973273942093541,0.8006681514476615,0.947945205479452,0.8147321428571429,0.7788018433179723,0.8752783964365256,0.732739420935412,Chris Mullin*,0.5828692141132741,1.3748136223560332
114,7222,0.07349665924276169,0.1714922048997773,0.27728285077951004,0.821826280623608,0.3028953229398664,0.6414253897550112,0.21158129175946547,0.09799554565701558,0.2906458797327394,0.663013698630137,0.08370535714285714,0.3191244239631336,0.16815144766146994,0.22048997772828507,Ed Nealy,0.2748424235191569,-1.7599795561871678
115,7223,0.8273942093541202,0.6191536748329621,0.7828507795100222,0.5734966592427617,0.767260579064588,0.41648106904231624,0.6714922048997772,0.6481069042316259,0.5812917594654788,0.3041095890410959,0.7645089285714286,0.1889400921658986,0.6369710467706013,0.5144766146993318,Billy Owens,0.5188038330795118,0.7228192972583759
116,7224,0.12249443207126949,0.3730512249443207,0.23051224944320714,0.3518930957683742,0.6525612472160356,0.6982182628062361,0.6180400890868597,0.9309576837416481,0.2026726057906459,0.14794520547945206,0.4263392857142857,0.6347926267281107,0.23385300668151449,0.24944320712694878,Paul Pressey,0.37488873436479736,-0.741806779162116
117,7225,0.544543429844098,0.3930957683741648,0.8040089086859689,0.4610244988864143,0.37082405345211583,0.5812917594654788,0.5868596881959911,0.2750556792873051,0.38752783964365256,0.14794520547945206,0.36830357142857145,0.5622119815668203,0.344097995545657,0.2984409799554566,Andre Spencer,0.38845269199037935,-0.6037661828986833
118,7226,0.5556792873051225,0.6603563474387528,0.22160356347438753,0.21937639198218262,0.6759465478841871,0.7750556792873051,0.6180400890868597,0.6581291759465479,0.765033407572383,0.8205479452054795,0.5814732142857143,0.5,0.8708240534521158,0.9131403118040089,Latrell Sprewell,0.5281377135280692,0.8178103358723855
